,species,island,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,gender,body_mass_kg,bill_area_mm2,total_area,flipper_length_z
48,Adelie,Dream,36.0,17.9,190.0,3450.0,female,3.45,644.4,122436.0,-0.7824736460256929
49,Adelie,Dream,42.3,21.2,191.0,4150.0,male,4.15,896.7599999999999,171281.15999999997,-0.7111254192659568
50,Adelie,Biscoe,39.6,17.7,186.0,3500.0,female,3.5,700.92,130371.12,-1.0678665530646367
51,Adelie,Biscoe,40.1,18.9,188.0,4300.0,male,4.3,757.89,142483.32,-0.9251700995451648
52,Adelie,Biscoe,35.0,17.9,190.0,3450.0,female,3.45,626.5,119035.0,-0.7824736460256929
53,Adelie,Biscoe,42.0,19.5,200.0,4050.0,male,4.05,819.0,163800.0,-0.06899137842833311
54,Adelie,Biscoe,34.5,18.1,187.0,2900.0,female,2.9,624.45,116772.15000000001,-0.9965183263049008
55,Adelie,Biscoe,41.4,18.6,191.0,3700.0,male,3.7,770.0400000000001,147077.64,-0.7111254192659568
56,Adelie,Biscoe,39.0,17.5,186.0,3550.0,female,3.55,682.5,126945.0,-1.0678665530646367
57,Adelie,Biscoe,40.6,18.8,193.0,3800.0,male,3.8,763.2800000000001,147313.04,-0.5684289657464849
58,Adelie,Biscoe,36.5,16.6,181.0,2850.0,female,2.85,605.9000000000001,109667.90000000002,-1.4246076868633166
59,Adelie,Biscoe,37.6,19.1,194.0,3750.0,male,3.75,718.1600000000001,139323.04,-0.497080738986749
60,Adelie,Biscoe,35.7,16.9,185.0,3150.0,female,3.15,603.33,111616.05,-1.1392147798243728
61,Adelie,Biscoe,41.3,21.1,195.0,4400.0,male,4.4,871.43,169928.84999999998,-0.42573251222701297
62,Adelie,Biscoe,37.6,17.0,185.0,3600.0,female,3.6,639.2,118252.00000000001,-1.1392147798243728
63,Adelie,Biscoe,41.1,18.2,192.0,4050.0,male,4.05,748.02,143619.84,-0.6397771925062209
64,Adelie,Biscoe,36.4,17.1,184.0,2850.0,female,2.85,622.44,114528.96,-1.2105630065841086
65,Adelie,Biscoe,41.6,18.0,192.0,3950.0,male,3.95,748.8000000000001,143769.6,-0.6397771925062209
66,Adelie,Biscoe,35.5,16.2,195.0,3350.0,female,3.35,575.1,112144.5,-0.42573251222701297
67,Adelie,Biscoe,41.1,19.1,188.0,4100.0,male,4.1,785.0100000000001,147581.88000000003,-0.9251700995451648
68,Adelie,Torgersen,35.9,16.6,190.0,3050.0,female,3.05,595.94,113228.6,-0.7824736460256929
69,Adelie,Torgersen,41.8,19.4,198.0,4450.0,male,4.45,810.9199999999998,160562.15999999997,-0.21168783194780508
70,Adelie,Torgersen,33.5,19.0,190.0,3600.0,female,3.6,636.5,120935.0,-0.7824736460256929
71,Adelie,Torgersen,39.7,18.4,190.0,3900.0,male,3.9,730.48,138791.2,-0.7824736460256929
72,Adelie,Torgersen,39.6,17.2,196.0,3550.0,female,3.55,681.12,133499.52,-0.354384285467277
73,Adelie,Torgersen,45.8,18.9,197.0,4150.0,male,4.15,865.6199999999999,170527.13999999998,-0.28303605870754106
74,Adelie,Torgersen,35.5,17.5,190.0,3700.0,female,3.7,621.25,118037.5,-0.7824736460256929
75,Adelie,Torgersen,42.8,18.5,195.0,4250.0,male,4.25,791.8,154401.0,-0.42573251222701297
76,Adelie,Torgersen,40.9,16.8,191.0,3700.0,female,3.7,687.12,131239.92,-0.7111254192659568
77,Adelie,Torgersen,37.2,19.4,184.0,3900.0,male,3.9,721.68,132789.12,-1.2105630065841086
78,Adelie,Torgersen,36.2,16.1,187.0,3550.0,female,3.55,582.82,108987.34000000001,-0.9965183263049008
79,Adelie,Torgersen,42.1,19.1,195.0,4000.0,male,4.0,804.1100000000001,156801.45,-0.42573251222701297
80,Adelie,Torgersen,34.6,17.2,189.0,3200.0,female,3.2,595.12,112477.68000000001,-0.8538218727854289
81,Adelie,Torgersen,42.9,17.6,196.0,4700.0,male,4.7,755.0400000000001,147987.84000000003,-0.354384285467277
82,Adelie,Torgersen,36.7,18.8,187.0,3800.0,female,3.8,689.96,129022.52,-0.9965183263049008
83,Adelie,Torgersen,35.1,19.4,193.0,4200.0,male,4.2,680.9399999999999,131421.41999999998,-0.5684289657464849
84,Adelie,Dream,37.3,17.8,191.0,3350.0,female,3.35,663.9399999999999,126812.54,-0.7111254192659568
85,Adelie,Dream,41.3,20.3,194.0,3550.0,male,3.55,838.39,162647.66,-0.497080738986749
86,Adelie,Dream,36.3,19.5,190.0,3800.0,male,3.8,707.8499999999999,134491.49999999997,-0.7824736460256929
87,Adelie,Dream,36.9,18.6,189.0,3500.0,female,3.5,686.34,129718.26000000001,-0.8538218727854289
88,Adelie,Dream,38.3,19.2,189.0,3950.0,male,3.95,735.3599999999999,138983.03999999998,-0.8538218727854289
89,Adelie,Dream,38.9,18.8,190.0,3600.0,female,3.6,731.32,138950.80000000002,-0.7824736460256929
90,Adelie,Dream,35.7,18.0,202.0,3550.0,female,3.55,642.6,129805.20000000001,0.07370507509113884
91,Adelie,Dream,41.1,18.1,205.0,4300.0,male,4.3,743.9100000000001,152501.55000000002,0.28774975537034675
92,Adelie,Dream,34.0,17.1,185.0,3400.0,female,3.4,581.4000000000001,107559.00000000001,-1.1392147798243728
93,Adelie,Dream,39.6,18.1,186.0,4450.0,male,4.45,716.7600000000001,133317.36000000002,-1.0678665530646367
94,Adelie,Dream,36.2,17.3,187.0,3300.0,female,3.3,626.2600000000001,117110.62000000002,-0.9965183263049008
95,Adelie,Dream,40.8,18.9,208.0,4300.0,male,4.3,771.1199999999999,160392.95999999996,0.5017944356495547
96,Adelie,Dream,38.1,18.6,190.0,3700.0,female,3.7,708.6600000000001,134645.40000000002,-0.7824736460256929
97,Adelie,Dream,40.3,18.5,196.0,4350.0,male,4.35,745.55,146127.8,-0.354384285467277
98,Adelie,Dream,33.1,16.1,178.0,2900.0,female,2.9,532.9100000000001,94857.98000000001,-1.6386523671425246
99,Adelie,Dream,43.2,18.5,192.0,4100.0,male,4.1,799.2,153446.40000000002,-0.6397771925062209
100,Adelie,Biscoe,35.0,17.9,192.0,3725.0,female,3.725,626.5,120288.0,-0.6397771925062209
101,Adelie,Biscoe,41.0,20.0,203.0,4725.0,male,4.725,820.0,166460.0,0.1450533018508748
102,Adelie,Biscoe,37.7,16.0,183.0,3075.0,female,3.075,603.2,110385.6,-1.2819112333438447
103,Adelie,Biscoe,37.8,20.0,190.0,4250.0,male,4.25,756.0,143640.0,-0.7824736460256929
104,Adelie,Biscoe,37.9,18.6,193.0,2925.0,female,2.925,704.94,136053.42,-0.5684289657464849
105,Adelie,Biscoe,39.7,18.9,184.0,3550.0,male,3.55,750.33,138060.72,-1.2105630065841086
106,Adelie,Biscoe,38.6,17.2,199.0,3750.0,female,3.75,663.92,132120.08,-0.1403396051880691
107,Adelie,Biscoe,38.2,20.0,190.0,3900.0,male,3.9,764.0,145160.0,-0.7824736460256929
108,Adelie,Biscoe,38.1,17.0,181.0,3175.0,female,3.175,647.7,117233.70000000001,-1.4246076868633166
109,Adelie,Biscoe,43.2,19.0,197.0,4775.0,male,4.775,820.8000000000001,161697.6,-0.28303605870754106
110,Adelie,Biscoe,38.1,16.5,198.0,3825.0,female,3.825,628.65,124472.7,-0.21168783194780508
111,Adelie,Biscoe,45.6,20.3,191.0,4600.0,male,4.6,925.6800000000001,176804.88,-0.7111254192659568
112,Adelie,Biscoe,39.7,17.7,193.0,3200.0,female,3.2,702.69,135619.17,-0.5684289657464849
113,Adelie,Biscoe,42.2,19.5,197.0,4275.0,male,4.275,822.9000000000001,162111.30000000002,-0.28303605870754106
114,Adelie,Biscoe,39.6,20.7,191.0,3900.0,female,3.9,819.72,156566.52000000002,-0.7111254192659568
115,Adelie,Biscoe,42.7,18.3,196.0,4075.0,male,4.075,781.4100000000001,153156.36000000002,-0.354384285467277
116,Adelie,Torgersen,38.6,17.0,188.0,2900.0,female,2.9,656.2,123365.6,-0.9251700995451648
117,Adelie,Torgersen,37.3,20.5,199.0,3775.0,male,3.775,764.65,152165.35,-0.1403396051880691
118,Adelie,Torgersen,35.7,17.0,189.0,3350.0,female,3.35,606.9000000000001,114704.10000000002,-0.8538218727854289
119,Adelie,Torgersen,41.1,18.6,189.0,3325.0,male,3.325,764.46,144482.94,-0.8538218727854289
120,Adelie,Torgersen,36.2,17.2,187.0,3150.0,female,3.15,622.64,116433.68,-0.9965183263049008
121,Adelie,Torgersen,37.7,19.8,198.0,3500.0,male,3.5,746.46,147799.08000000002,-0.21168783194780508
122,Adelie,Torgersen,40.2,17.0,176.0,3450.0,female,3.45,683.4000000000001,120278.40000000002,-1.7813488206619965
123,Adelie,Torgersen,41.4,18.5,202.0,3875.0,male,3.875,765.9,154711.8,0.07370507509113884
124,Adelie,Torgersen,35.2,15.9,186.0,3050.0,female,3.05,559.6800000000001,104100.48000000001,-1.0678665530646367
125,Adelie,Torgersen,40.6,19.0,199.0,4000.0,male,4.0,771.4,153508.6,-0.1403396051880691
126,Adelie,Torgersen,38.8,17.6,191.0,3275.0,female,3.275,682.88,130430.08,-0.7111254192659568
127,Adelie,Torgersen,41.5,18.3,195.0,4300.0,male,4.3,759.45,148092.75,-0.42573251222701297
128,Adelie,Torgersen,39.0,17.1,191.0,3050.0,female,3.05,666.9000000000001,127377.90000000002,-0.7111254192659568
129,Adelie,Torgersen,44.1,18.0,210.0,4000.0,male,4.0,793.8000000000001,166698.0,0.6444908891690266
130,Adelie,Torgersen,38.5,17.9,190.0,3325.0,female,3.325,689.15,130938.5,-0.7824736460256929
131,Adelie,Torgersen,43.1,19.2,197.0,3500.0,male,3.5,827.52,163021.44,-0.28303605870754106
132,Adelie,Dream,36.8,18.5,193.0,3500.0,female,3.5,680.8,131394.4,-0.5684289657464849
133,Adelie,Dream,37.5,18.5,199.0,4475.0,male,4.475,693.75,138056.25,-0.1403396051880691
134,Adelie,Dream,38.1,17.6,187.0,3425.0,female,3.425,670.5600000000001,125394.72000000002,-0.9965183263049008
135,Adelie,Dream,41.1,17.5,190.0,3900.0,male,3.9,719.25,136657.5,-0.7824736460256929
136,Adelie,Dream,35.6,17.5,191.0,3175.0,female,3.175,623.0,118993.0,-0.7111254192659568
137,Adelie,Dream,40.2,20.1,200.0,3975.0,male,3.975,808.0200000000001,161604.00000000003,-0.06899137842833311
138,Adelie,Dream,37.0,16.5,185.0,3400.0,female,3.4,610.5,112942.5,-1.1392147798243728
139,Adelie,Dream,39.7,17.9,193.0,4250.0,male,4.25,710.63,137151.59,-0.5684289657464849
140,Adelie,Dream,40.2,17.1,193.0,3400.0,female,3.4,687.4200000000001,132672.06000000003,-0.5684289657464849
141,Adelie,Dream,40.6,17.2,187.0,3475.0,male,3.475,698.32,130585.84000000001,-0.9965183263049008
142,Adelie,Dream,32.1,15.5,188.0,3050.0,female,3.05,497.55,93539.40000000001,-0.9251700995451648
143,Adelie,Dream,40.7,17.0,190.0,3725.0,male,3.725,691.9000000000001,131461.00000000003,-0.7824736460256929
144,Adelie,Dream,37.3,16.8,192.0,3000.0,female,3.0,626.64,120314.88,-0.6397771925062209
145,Adelie,Dream,39.0,18.7,185.0,3650.0,male,3.65,729.3,134920.5,-1.1392147798243728
146,Adelie,Dream,39.2,18.6,190.0,4250.0,male,4.25,729.1200000000001,138532.80000000002,-0.7824736460256929
147,Adelie,Dream,36.6,18.4,184.0,3475.0,female,3.475,673.4399999999999,123912.95999999999,-1.2105630065841086
148,Adelie,Dream,36.0,17.8,195.0,3450.0,female,3.45,640.8000000000001,124956.00000000001,-0.42573251222701297
149,Adelie,Dream,37.8,18.1,193.0,3750.0,male,3.75,684.18,132046.74,-0.5684289657464849
150,Adelie,Dream,36.0,17.1,187.0,3700.0,female,3.7,615.6,115117.2,-0.9965183263049008
151,Adelie,Dream,41.5,18.5,201.0,4000.0,male,4.0,767.75,154317.75,0.0023568483314028664
152,Gentoo,Biscoe,46.1,13.2,211.0,4500.0,female,4.5,608.52,128397.72,0.7158391159287626
153,Gentoo,Biscoe,50.0,16.3,230.0,5700.0,male,5.7,815.0,187450.0,2.071455424363746
154,Gentoo,Biscoe,48.7,14.1,210.0,4450.0,female,4.45,686.6700000000001,144200.7,0.6444908891690266
155,Gentoo,Biscoe,50.0,15.2,218.0,5700.0,male,5.7,760.0,165680.0,1.2152767032469145
156,Gentoo,Biscoe,47.6,14.5,215.0,5400.0,male,5.4,690.2,148393.0,1.0012320229677065
157,Gentoo,Biscoe,46.5,13.5,210.0,4550.0,female,4.55,627.75,131827.5,0.6444908891690266
158,Gentoo,Biscoe,45.4,14.6,211.0,4800.0,female,4.8,662.8399999999999,139859.24,0.7158391159287626
159,Gentoo,Biscoe,46.7,15.3,219.0,5200.0,male,5.2,714.5100000000001,156477.69000000003,1.2866249300066503
160,Gentoo,Biscoe,43.3,13.4,209.0,4400.0,female,4.4,580.22,121265.98000000001,0.5731426624092907
161,Gentoo,Biscoe,46.8,15.4,215.0,5150.0,male,5.15,720.72,154954.80000000002,1.0012320229677065
162,Gentoo,Biscoe,40.9,13.7,214.0,4650.0,female,4.65,560.3299999999999,119910.61999999998,0.9298837962079706
163,Gentoo,Biscoe,49.0,16.1,216.0,5550.0,male,5.55,788.9000000000001,170402.40000000002,1.0725802497274426
164,Gentoo,Biscoe,45.5,13.7,214.0,4650.0,female,4.65,623.35,133396.9,0.9298837962079706
165,Gentoo,Biscoe,48.4,14.6,213.0,5850.0,male,5.85,706.64,150514.32,0.8585355694482346
166,Gentoo,Biscoe,45.8,14.6,210.0,4200.0,female,4.2,668.68,140422.8,0.6444908891690266
167,Gentoo,Biscoe,49.3,15.7,217.0,5850.0,male,5.85,774.0099999999999,167960.16999999998,1.1439284764871784
168,Gentoo,Biscoe,42.0,13.5,210.0,4150.0,female,4.15,567.0,119070.0,0.6444908891690266
169,Gentoo,Biscoe,49.2,15.2,221.0,6300.0,male,6.3,747.84,165272.64,1.4293213835261225
170,Gentoo,Biscoe,46.2,14.5,209.0,4800.0,female,4.8,669.9000000000001,140009.1,0.5731426624092907
171,Gentoo,Biscoe,48.7,15.1,222.0,5350.0,male,5.35,735.37,163252.14,1.5006696102858583
172,Gentoo,Biscoe,50.2,14.3,218.0,5700.0,male,5.7,717.8600000000001,156493.48000000004,1.2152767032469145
173,Gentoo,Biscoe,45.1,14.5,215.0,5000.0,female,5.0,653.95,140599.25,1.0012320229677065
174,Gentoo,Biscoe,46.5,14.5,213.0,4400.0,female,4.4,674.25,143615.25,0.8585355694482346
175,Gentoo,Biscoe,46.3,15.8,215.0,5050.0,male,5.05,731.54,157281.1,1.0012320229677065
176,Gentoo,Biscoe,42.9,13.1,215.0,5000.0,female,5.0,561.99,120827.85,1.0012320229677065
177,Gentoo,Biscoe,46.1,15.1,215.0,5100.0,male,5.1,696.11,149663.65,1.0012320229677065
179,Gentoo,Biscoe,47.8,15.0,215.0,5650.0,male,5.65,717.0,154155.0,1.0012320229677065
180,Gentoo,Biscoe,48.2,14.3,210.0,4600.0,female,4.6,689.2600000000001,144744.60000000003,0.6444908891690266
181,Gentoo,Biscoe,50.0,15.3,220.0,5550.0,male,5.55,765.0,168300.0,1.3579731567663864
182,Gentoo,Biscoe,47.3,15.3,222.0,5250.0,male,5.25,723.6899999999999,160659.18,1.5006696102858583
183,Gentoo,Biscoe,42.8,14.2,209.0,4700.0,female,4.7,607.7599999999999,127021.83999999997,0.5731426624092907
184,Gentoo,Biscoe,45.1,14.5,207.0,5050.0,female,5.05,653.95,135367.65000000002,0.4304462088898187
185,Gentoo,Biscoe,59.6,17.0,230.0,6050.0,male,6.05,1013.2,233036.0,2.071455424363746
186,Gentoo,Biscoe,49.1,14.8,220.0,5150.0,female,5.15,726.6800000000001,159869.6,1.3579731567663864
187,Gentoo,Biscoe,48.4,16.3,220.0,5400.0,male,5.4,788.92,173562.4,1.3579731567663864
188,Gentoo,Biscoe,42.6,13.7,213.0,4950.0,female,4.95,583.62,124311.06,0.8585355694482346
189,Gentoo,Biscoe,44.4,17.3,219.0,5250.0,male,5.25,768.12,168218.28,1.2866249300066503
190,Gentoo,Biscoe,44.0,13.6,208.0,4350.0,female,4.35,598.4,124467.2,0.5017944356495547
191,Gentoo,Biscoe,48.7,15.7,208.0,5350.0,male,5.35,764.59,159034.72,0.5017944356495547
192,Gentoo,Biscoe,42.7,13.7,208.0,3950.0,female,3.95,584.99,121677.92,0.5017944356495547
193,Gentoo,Biscoe,49.6,16.0,225.0,5700.0,male,5.7,793.6,178560.0,1.7147142905650663
194,Gentoo,Biscoe,45.3,13.7,210.0,4300.0,female,4.3,620.6099999999999,130328.09999999998,0.6444908891690266
195,Gentoo,Biscoe,49.6,15.0,216.0,4750.0,male,4.75,744.0,160704.0,1.0725802497274426
196,Gentoo,Biscoe,50.5,15.9,222.0,5550.0,male,5.55,802.95,178254.90000000002,1.5006696102858583
197,Gentoo,Biscoe,43.6,13.9,217.0,4900.0,female,4.9,606.0400000000001,131510.68000000002,1.1439284764871784
198,Gentoo,Biscoe,45.5,13.9,210.0,4200.0,female,4.2,632.45,132814.5,0.6444908891690266
199,Gentoo,Biscoe,50.5,15.9,225.0,5400.0,male,5.4,802.95,180663.75,1.7147142905650663
200,Gentoo,Biscoe,44.9,13.3,213.0,5100.0,female,5.1,597.17,127197.20999999999,0.8585355694482346
201,Gentoo,Biscoe,45.2,15.8,215.0,5300.0,male,5.3,714.1600000000001,153544.40000000002,1.0012320229677065
202,Gentoo,Biscoe,46.6,14.2,210.0,4850.0,female,4.85,661.72,138961.2,0.6444908891690266
203,Gentoo,Biscoe,48.5,14.1,220.0,5300.0,male,5.3,683.85,150447.0,1.3579731567663864
204,Gentoo,Biscoe,45.1,14.4,210.0,4400.0,female,4.4,649.44,136382.40000000002,0.6444908891690266
205,Gentoo,Biscoe,50.1,15.0,225.0,5000.0,male,5.0,751.5,169087.5,1.7147142905650663
206,Gentoo,Biscoe,46.5,14.4,217.0,4900.0,female,4.9,669.6,145303.2,1.1439284764871784
207,Gentoo,Biscoe,45.0,15.4,220.0,5050.0,male,5.05,693.0,152460.0,1.3579731567663864
208,Gentoo,Biscoe,43.8,13.9,208.0,4300.0,female,4.3,608.8199999999999,126634.55999999998,0.5017944356495547
209,Gentoo,Biscoe,45.5,15.0,220.0,5000.0,male,5.0,682.5,150150.0,1.3579731567663864
210,Gentoo,Biscoe,43.2,14.5,208.0,4450.0,female,4.45,626.4000000000001,130291.20000000001,0.5017944356495547
211,Gentoo,Biscoe,50.4,15.3,224.0,5550.0,male,5.55,771.12,172730.88,1.6433660638053302
212,Gentoo,Biscoe,45.3,13.8,208.0,4200.0,female,4.2,625.14,130029.12,0.5017944356495547
213,Gentoo,Biscoe,46.2,14.9,221.0,5300.0,male,5.3,688.3800000000001,152131.98,1.4293213835261225
214,Gentoo,Biscoe,45.7,13.9,214.0,4400.0,female,4.4,635.23,135939.22,0.9298837962079706
215,Gentoo,Biscoe,54.3,15.7,231.0,5650.0,male,5.65,852.5099999999999,196929.80999999997,2.142803651123482
216,Gentoo,Biscoe,45.8,14.2,219.0,4700.0,female,4.7,650.3599999999999,142428.83999999997,1.2866249300066503
217,Gentoo,Biscoe,49.8,16.8,230.0,5700.0,male,5.7,836.64,192427.19999999998,2.071455424363746
219,Gentoo,Biscoe,49.5,16.2,229.0,5800.0,male,5.8,801.9,183635.1,2.0001071976040103
220,Gentoo,Biscoe,43.5,14.2,220.0,4700.0,female,4.7,617.6999999999999,135893.99999999997,1.3579731567663864
221,Gentoo,Biscoe,50.7,15.0,223.0,5550.0,male,5.55,760.5,169591.5,1.5720178370455944
222,Gentoo,Biscoe,47.7,15.0,216.0,4750.0,female,4.75,715.5,154548.0,1.0725802497274426
223,Gentoo,Biscoe,46.4,15.6,221.0,5000.0,male,5.0,723.8399999999999,159968.63999999998,1.4293213835261225
224,Gentoo,Biscoe,48.2,15.6,221.0,5100.0,male,5.1,751.9200000000001,166174.32,1.4293213835261225
225,Gentoo,Biscoe,46.5,14.8,217.0,5200.0,female,5.2,688.2,149339.40000000002,1.1439284764871784
226,Gentoo,Biscoe,46.4,15.0,216.0,4700.0,female,4.7,696.0,150336.0,1.0725802497274426
227,Gentoo,Biscoe,48.6,16.0,230.0,5800.0,male,5.8,777.6,178848.0,2.071455424363746
228,Gentoo,Biscoe,47.5,14.2,209.0,4600.0,female,4.6,674.5,140970.5,0.5731426624092907
229,Gentoo,Biscoe,51.1,16.3,220.0,6000.0,male,6.0,832.9300000000001,183244.6,1.3579731567663864
230,Gentoo,Biscoe,45.2,13.8,215.0,4750.0,female,4.75,623.7600000000001,134108.40000000002,1.0012320229677065
231,Gentoo,Biscoe,45.2,16.4,223.0,5950.0,male,5.95,741.28,165305.44,1.5720178370455944
232,Gentoo,Biscoe,49.1,14.5,212.0,4625.0,female,4.625,711.95,150933.40000000002,0.7871873426884987
233,Gentoo,Biscoe,52.5,15.6,221.0,5450.0,male,5.45,819.0,180999.0,1.4293213835261225
234,Gentoo,Biscoe,47.4,14.6,212.0,4725.0,female,4.725,692.04,146712.47999999998,0.7871873426884987
235,Gentoo,Biscoe,50.0,15.9,224.0,5350.0,male,5.35,795.0,178080.0,1.6433660638053302
236,Gentoo,Biscoe,44.9,13.8,212.0,4750.0,female,4.75,619.62,131359.44,0.7871873426884987
237,Gentoo,Biscoe,50.8,17.3,228.0,5600.0,male,5.6,878.84,200375.52000000002,1.9287589708442743
238,Gentoo,Biscoe,43.4,14.4,218.0,4600.0,female,4.6,624.96,136241.28,1.2152767032469145
239,Gentoo,Biscoe,51.3,14.2,218.0,5300.0,male,5.3,728.4599999999999,158804.27999999997,1.2152767032469145
240,Gentoo,Biscoe,47.5,14.0,212.0,4875.0,female,4.875,665.0,140980.0,0.7871873426884987
241,Gentoo,Biscoe,52.1,17.0,230.0,5550.0,male,5.55,885.7,203711.0,2.071455424363746
242,Gentoo,Biscoe,47.5,15.0,218.0,4950.0,female,4.95,712.5,155325.0,1.2152767032469145
243,Gentoo,Biscoe,52.2,17.1,228.0,5400.0,male,5.4,892.6200000000001,203517.36000000002,1.9287589708442743
244,Gentoo,Biscoe,45.5,14.5,212.0,4750.0,female,4.75,659.75,139867.0,0.7871873426884987
245,Gentoo,Biscoe,49.5,16.1,224.0,5650.0,male,5.65,796.95,178516.80000000002,1.6433660638053302
246,Gentoo,Biscoe,44.5,14.7,214.0,4850.0,female,4.85,654.15,139988.1,0.9298837962079706
247,Gentoo,Biscoe,50.8,15.7,226.0,5200.0,male,5.2,797.56,180248.56,1.7860625173248024
248,Gentoo,Biscoe,49.4,15.8,216.0,4925.0,male,4.925,780.52,168592.32,1.0725802497274426
249,Gentoo,Biscoe,46.9,14.6,222.0,4875.0,female,4.875,684.74,152012.28,1.5006696102858583
250,Gentoo,Biscoe,48.4,14.4,203.0,4625.0,female,4.625,696.96,141482.88,0.1450533018508748
